STATE,DOMAIN,CLUSTER,AGEFLAG,HOMEOWNR,GENDER,DATASRCE,GEOCODE2,DOMAIN_A,DOMAIN_B
CA,T2,40,E,U,F,2,A,T,2
CA,U1,2,,H,other,2,A,U,1
other,R2,43,,U,F,Not matched,D,R,2
NC,C1,23,,H,M,2,C,C,1
other,S1,12,E,H,F,3,B,S,1
MI,R2,49,,H,F,3,C,R,2
CA,U4,10,,U,M,Not matched,A,U,4
other,R3,51,E,U,F,2,D,R,3
MO,R2,43,E,H,M,3,D,R,2
CA,T1,35,E,H,M,3,B,T,1
other,R2,43,,U,F,1,C,R,2
WI,R2,43,E,U,F,1,D,R,2
other,T2,36,,U,F,Not matched,B,T,2
MO,R2,49,,H,M,3,D,R,2
MI,U2,5,,U,F,Not matched,A,U,2
WA,S2,17,E,H,F,2,A,S,2
FL,T2,37,E,H,F,3,A,T,2
other,S1,14,E,H,F,3,B,S,1
IN,T3,41,E,H,F,3,C,T,3
CA,R3,52,E,H,F,2,B,R,3
CA,U1,2,,H,F,2,A,U,1
other,C3,33,E,U,F,2,C,C,3
TX,S1,12,E,H,F,3,A,S,1
CA,U1,2,,U,F,Not matched,A,U,1
other,R2,43,E,H,M,2,D,R,2
other,R3,53,,U,F,3,D,R,3
IL,S2,18,E,H,M,2,A,S,2
WI,T2,36,E,H,other,3,C,T,2
CA,S2,19,E,H,M,3,A,S,2
IN,S3,21,,U,F,Not matched,B,S,3
CA,S3,21,E,H,F,3,A,S,3
other,S1,12,E,U,F,3,B,S,1
TX,S1,15,E,U,F,3,B,S,1
MI,T3,41,,U,F,Not matched,C,T,3
TX,C3,33,E,H,M,3,B,C,3
FL,C2,29,I,H,M,2,A,C,2
IL,U1,2,E,H,other,3,A,U,1
other,R2,48,I,U,M,Not matched,D,R,2
other,T2,39,E,H,F,2,B,T,2
TX,R2,49,E,H,M,2,C,R,2
other,T2,38,E,H,F,3,D,T,2
other,C1,24,E,H,M,2,D,C,1
CA,U1,3,E,H,F,3,A,U,1
TX,C1,22,E,U,F,3,C,C,1
other,U2,5,I,U,M,Not matched,B,U,2
other,C1,24,,U,F,Not matched,C,C,1
other,T3,41,E,H,F,3,C,T,3
FL,R3,53,I,H,F,2,D,R,3
IN,S1,11,,U,F,Not matched,B,S,1
other,C3,30,E,H,M,3,B,C,3
CA,U2,7,,U,F,Not matched,A,U,2
other,S2,16,E,H,M,3,B,S,2
WA,R2,45,,U,F,Not matched,D,R,2
other,R2,46,,H,F,2,C,R,2
TX,R2,45,E,H,F,3,D,R,2
other,U3,9,E,U,F,2,B,U,3
MI,S2,20,,H,F,2,A,S,2
other,S2,20,,U,M,Not matched,B,S,2
other,C2,27,E,H,M,3,B,C,2
GA,S1,14,E,H,M,3,A,S,1
NC,C1,22,,U,M,Not matched,B,C,1
WI,R1,42,,U,F,Not matched,B,R,1
IL,R3,53,,U,F,2,D,R,3
CA,U1,2,E,H,M,3,A,U,1
NC,T2,39,I,U,M,Not matched,C,T,2
other,C1,22,E,H,M,3,C,C,1
other,T2,40,E,H,F,3,B,T,2
NC,T2,40,E,H,F,1,B,T,2
TX,C3,30,E,H,F,3,B,C,3
MI,S1,12,I,H,M,2,A,S,1
MI,T2,40,E,H,F,3,A,T,2
other,S1,12,E,H,M,3,B,S,1
other,S2,18,E,H,F,3,B,S,2
other,T1,34,E,H,F,3,C,T,1
other,C1,24,E,H,F,3,B,C,1
other,U1,1,,U,F,Not matched,A,U,1
MI,U3,8,E,H,M,3,A,U,3
other,C2,27,,U,M,Not matched,B,C,2
CA,S1,11,E,H,F,3,A,S,1
CA,C2,27,,U,F,Not matched,A,C,2
CA,S2,16,,U,F,Not matched,A,S,2
TX,R1,42,E,H,F,3,B,R,1
other,R2,45,E,H,M,3,D,R,2
other,R2,45,,U,other,Not matched,D,R,2
MI,S1,13,E,U,F,1,B,S,1
TX,C1,24,E,H,M,3,A,C,1
other,C2,25,E,H,F,2,C,C,2
IN,S2,20,E,H,M,3,B,S,2
WI,R2,44,E,U,M,3,D,R,2
MI,S2,16,E,H,F,3,A,S,2
other,R2,47,,U,F,Not matched,C,R,2
other,T1,34,E,H,M,3,B,T,1
MO,S1,11,E,H,F,3,B,S,1
CA,U2,7,E,H,M,3,A,U,2
TX,R2,48,E,H,M,2,D,R,2
WI,T2,39,E,H,F,3,D,T,2
WI,R3,51,E,H,F,3,D,R,3
other,R2,43,E,H,F,2,D,R,2
MI,U1,2,E,H,F,3,A,U,1
other,R2,49,E,U,F,2,C,R,2
CA,U1,2,,H,M,2,A,U,1
NC,T2,40,E,U,M,2,C,T,2
MO,R3,53,,U,M,Not matched,D,R,3
MI,R2,44,E,H,M,3,A,R,2
other,T2,40,E,H,M,1,B,T,2
other,R2,44,E,H,M,2,D,R,2
NC,R2,45,E,H,M,2,D,R,2
GA,C2,27,I,U,F,Not matched,B,C,2
CA,S1,14,E,H,M,3,A,S,1
CA,T2,39,,U,F,Not matched,B,T,2
MI,U3,8,E,H,F,3,A,U,3
IL,S1,14,I,U,M,Not matched,A,S,1
other,T1,35,E,U,M,3,B,T,1
IL,R3,52,E,H,F,2,A,R,3
other,S2,18,E,H,M,3,B,S,2
IL,T2,39,E,H,M,3,C,T,2
TX,C1,24,,U,F,1,A,C,1
other,C1,24,E,H,F,3,B,C,1
other,T1,35,E,H,M,2,B,T,1
WA,U2,7,E,U,F,3,A,U,2
other,T2,36,,U,F,Not matched,D,T,2
CA,S1,13,E,H,M,3,A,S,1
FL,S2,17,E,H,M,3,A,S,2
CA,U4,10,,H,F,3,A,U,4
IL,S1,13,E,U,F,1,A,S,1
IL,C2,26,,U,F,1,B,C,2
MO,C1,24,,U,F,Not matched,B,C,1
other,R2,47,E,U,M,2,B,R,2
IN,T1,35,E,H,F,3,B,T,1
FL,T3,41,E,H,F,2,A,T,3
other,C2,27,E,U,F,1,C,C,2
TX,C3,31,,U,F,1,B,C,3
IL,S2,16,,H,other,3,A,S,2
MI,T2,38,E,H,F,2,A,T,2
IL,U3,8,E,U,F,3,A,U,3
TX,T2,36,E,U,F,2,A,T,2
GA,R2,40,,H,F,3,A,R,2
NC,T1,35,E,H,M,2,B,T,1
other,R1,42,I,H,M,2,D,R,1
other,T3,41,E,H,F,3,D,T,3
GA,R2,49,I,H,F,2,A,R,2
TX,U4,10,E,H,F,3,B,U,4
other,R1,42,,U,F,Not matched,C,R,1
MI,T2,40,E,H,M,2,A,T,2
CA,R2,40,,U,F,Not matched,A,R,2
other,T1,35,E,H,M,3,C,T,1
IL,R3,53,E,U,M,3,D,R,3
CA,S1,12,E,H,F,2,A,S,1
other,C1,24,E,H,F,3,C,C,1
CA,S1,11,,U,M,Not matched,A,S,1
WA,R1,42,E,H,F,3,C,R,1
IN,C1,24,E,H,M,2,C,C,1
MI,R2,44,E,H,M,3,C,R,2
NC,T2,40,,U,F,1,C,T,2
CA,U1,1,I,U,M,2,A,U,1
other,S2,17,,U,F,Not matched,A,S,2
GA,R2,47,E,H,F,2,C,R,2
other,C3,31,E,H,M,3,B,C,3
other,S2,18,I,U,F,Not matched,C,S,2
other,T1,34,E,U,M,3,A,T,1
CA,T1,34,,U,F,Not matched,A,T,1
other,T2,39,E,H,F,3,C,T,2
IL,U2,5,,H,F,3,A,U,2
other,C1,22,,U,M,1,D,C,1
other,T1,35,E,H,M,3,B,T,1
other,T1,34,E,H,M,3,B,T,1
CA,S2,17,E,U,F,2,A,S,2
CA,S2,19,,H,F,3,A,S,2
other,S1,12,E,H,F,3,B,S,1
TX,R3,50,E,U,F,3,A,R,3
NC,T2,36,E,H,M,2,C,T,2
other,R3,51,,U,F,Not matched,C,R,3
CA,S1,14,,H,F,3,A,S,1
CA,C2,29,,U,F,Not matched,A,C,2
other,R2,43,,U,F,Not matched,D,R,2
other,R3,51,,U,F,Not matched,B,R,3
other,R3,50,,U,F,3,D,R,3
other,C1,24,,U,M,Not matched,C,C,1
WI,S3,21,E,H,M,3,B,S,3
NC,C2,28,E,H,M,2,C,C,2
other,T1,35,,U,M,Not matched,A,T,1
MI,T1,35,E,H,F,3,A,T,1
IL,T3,41,E,H,M,3,C,T,3
NC,R2,44,E,H,F,3,C,R,2
TX,S1,12,E,H,F,2,A,S,1
other,R2,44,E,U,M,1,D,R,2
MI,T2,40,E,H,M,3,C,T,2
other,C2,26,,U,F,Not matched,B,C,2
CA,S1,13,E,H,M,2,A,S,1
other,C1,24,E,H,F,3,B,C,1
TX,S1,11,E,H,M,3,B,S,1
other,R2,47,E,U,F,3,C,R,2
GA,R1,42,,U,M,1,C,R,1
IL,S1,11,E,H,F,1,A,S,1
TX,C2,28,E,H,F,3,B,C,2
TX,T1,35,E,H,F,3,A,T,1
other,S2,17,,H,F,1,B,S,2
FL,C2,29,E,H,M,3,B,C,2
FL,T2,40,,U,F,3,C,T,2
MI,S2,16,I,H,M,2,A,S,2
IL,R2,43,,H,M,3,D,R,2
NC,C3,31,I,H,F,2,C,C,3
TX,U1,1,,U,F,Not matched,A,U,1
WA,U1,2,,U,F,Not matched,A,U,1
FL,U3,8,E,H,F,2,A,U,3
WA,T1,34,E,H,F,3,C,T,1
CA,C2,26,E,H,F,2,A,C,2
other,U4,10,I,U,M,Not matched,A,U,4
other,R2,49,E,H,M,3,C,R,2
FL,T3,41,E,H,F,1,B,T,3
GA,R2,40,,H,F,2,D,R,2
other,R2,43,,U,F,2,D,R,2
other,U2,4,I,U,F,Not matched,A,U,2
WA,T2,40,E,H,M,3,A,T,2
other,R2,40,E,H,M,2,C,R,2
IL,C1,24,E,U,F,2,A,C,1
IN,R2,44,E,H,F,3,C,R,2
MO,S1,11,E,U,F,3,A,S,1
FL,U3,8,E,H,F,3,A,U,3
other,T2,40,,U,F,Not matched,B,T,2
CA,U1,2,E,H,M,2,A,U,1
other,C1,24,E,H,F,3,B,C,1
CA,R2,49,I,U,M,Not matched,A,R,2
other,R3,51,,U,F,Not matched,D,R,3
FL,C2,28,E,H,M,3,A,C,2
WI,C3,31,,H,F,3,B,C,3
WA,S1,12,E,H,F,3,A,S,1
GA,R2,49,E,H,M,2,C,R,2
other,C3,30,,U,F,Not matched,B,C,3
GA,T2,39,E,H,F,3,C,T,2
other,R2,49,E,U,M,3,B,R,2
other,C3,31,E,H,other,3,B,C,3
MO,T3,41,E,H,M,3,D,T,3
CA,S3,21,E,H,M,2,A,S,3
TX,S1,12,E,H,F,3,A,S,1
other,R2,45,,U,M,2,D,R,2
IL,U1,2,E,H,F,3,A,U,1
other,U2,5,E,H,M,3,B,U,2
IN,S2,16,E,U,F,2,A,S,2
TX,C2,25,E,H,M,3,A,C,2
CA,R2,43,E,U,M,3,C,R,2
CA,U4,10,E,H,M,2,B,U,4
TX,S2,18,,U,F,3,A,S,2
TX,R2,48,E,H,F,2,D,R,2
MI,T2,36,E,U,F,1,D,T,2
FL,R2,40,E,U,F,2,C,R,2
NC,R2,46,,U,M,2,B,R,2
NC,R3,53,,U,M,2,D,R,3
CA,U2,6,,H,F,3,A,U,2
other,R2,47,E,H,F,2,D,R,2
WI,C2,27,E,H,F,2,C,C,2
FL,C2,28,,H,M,1,C,C,2
CA,U1,2,E,H,F,3,B,U,1
IL,S1,14,,U,F,Not matched,A,S,1
FL,T3,41,E,H,M,1,A,T,3
WA,R1,42,,U,F,3,C,R,1
GA,C3,31,E,H,M,3,A,C,3
FL,R1,42,E,H,M,3,B,R,1
other,R2,49,E,U,M,2,D,R,2
CA,S2,17,E,U,F,2,A,S,2
FL,S2,17,E,H,F,3,A,S,2
MI,U3,8,,U,M,Not matched,A,U,3
CA,T2,36,,U,other,2,B,T,2
other,R2,49,,U,M,Not matched,D,R,2
other,S1,14,E,H,M,2,B,S,1
other,T2,40,E,H,F,3,B,T,2
CA,S1,14,E,H,M,2,A,S,1
other,S2,16,E,H,F,3,B,S,2
other,S1,12,E,H,F,3,A,S,1
IL,C2,27,E,H,M,3,C,C,2
other,R2,44,I,U,F,Not matched,B,R,2
other,R2,43,,U,F,Not matched,D,R,2
FL,S1,12,E,H,F,3,A,S,1
NC,T1,35,E,H,F,2,B,T,1
TX,T1,35,E,U,M,3,C,T,1
other,C1,24,E,H,F,3,B,C,1
WA,T1,35,E,H,M,2,A,T,1
MI,U3,8,E,H,M,2,A,U,3
CA,S1,11,I,H,M,2,A,S,1
other,C3,30,E,H,F,3,C,C,3
TX,C2,27,,U,M,Not matched,C,C,2
CA,U2,7,E,H,F,2,A,U,2
CA,S1,11,,U,F,Not matched,A,S,1
CA,C2,27,E,H,M,2,A,C,2
NC,S1,12,,U,F,Not matched,B,S,1
other,S2,16,,H,F,3,B,S,2
CA,S1,13,E,H,F,2,A,S,1
other,R2,40,,U,F,1,B,R,2
MI,R3,53,E,U,M,2,D,R,3
MO,C3,30,E,U,F,2,B,C,3
NC,T1,35,I,U,F,Not matched,B,T,1
MI,C3,30,,U,M,3,B,C,3
other,R2,49,E,H,F,3,D,R,2
MI,R3,53,E,U,M,2,C,R,3
GA,T2,39,E,H,M,3,A,T,2
other,S1,12,,H,M,3,C,S,1
FL,C3,33,E,U,F,2,B,C,3
other,T2,36,E,U,F,3,D,T,2
CA,S1,12,,U,F,Not matched,A,S,1
other,R3,51,E,H,F,2,D,R,3
other,C2,27,E,H,F,3,C,C,2
TX,R2,46,E,H,M,3,A,R,2
CA,S1,12,E,H,M,2,A,S,1
WA,S2,20,,H,M,3,A,S,2
TX,S1,12,,U,F,Not matched,A,S,1
GA,T2,40,E,H,F,2,A,T,2
CA,U4,10,,U,M,Not matched,A,U,4
WA,S2,17,E,H,M,3,A,S,2
CA,U2,6,I,U,F,Not matched,A,U,2
MO,C3,30,,U,F,Not matched,C,C,3
other,R3,53,,U,F,Not matched,D,R,3
IL,R2,46,,U,M,Not matched,A,R,2
other,R2,49,I,H,M,2,D,R,2
other,R2,43,,U,F,Not matched,D,R,2
TX,R1,42,E,H,F,3,C,R,1
IL,T2,36,E,H,M,3,D,T,2
CA,R2,40,,U,M,3,B,R,2
MI,S1,12,E,H,M,1,B,S,1
CA,S2,18,E,H,M,3,A,S,2
other,T1,34,E,H,F,2,B,T,1
IN,T2,39,I,U,M,Not matched,C,T,2
other,R2,45,,U,M,3,D,R,2
FL,C1,23,,U,F,Not matched,C,C,1
IN,S1,12,E,H,F,3,A,S,1
IN,R2,49,E,H,F,2,D,R,2
TX,T1,35,E,H,M,3,A,T,1
CA,C1,22,E,H,F,3,A,C,1
other,C1,24,I,U,M,Not matched,B,C,1
FL,T2,36,E,H,M,2,B,T,2
IL,R2,45,E,H,F,3,C,R,2
MO,T3,41,,U,F,Not matched,D,T,3
IL,T2,40,,U,F,Not matched,A,T,2
WI,T2,40,E,U,F,1,B,T,2
MI,T2,36,,U,M,Not matched,B,T,2
other,S3,21,,U,M,2,B,S,3
FL,U1,3,E,U,M,1,A,U,1
CA,S1,11,E,H,F,3,A,S,1
IN,C3,32,E,H,F,3,C,C,3
IN,U1,1,E,U,F,3,B,U,1
other,U1,3,E,H,F,3,A,U,1
other,C3,31,,U,F,Not matched,C,C,3
WA,T2,36,E,H,F,2,C,T,2
IL,R2,49,,U,F,Not matched,C,R,2
other,C2,26,E,H,M,3,C,C,2
GA,R2,49,,U,F,3,D,R,2
FL,R2,40,E,H,M,2,C,R,2
MO,C1,24,E,H,F,3,A,C,1
CA,S1,11,E,H,M,1,A,S,1
MI,C3,30,E,H,M,3,C,C,3
other,R2,46,E,H,F,3,D,R,2
GA,T3,41,E,H,F,3,A,T,3
TX,T1,35,E,H,F,3,A,T,1
FL,T2,36,,U,F,Not matched,C,T,2
NC,R2,49,E,H,M,2,C,R,2
WI,U1,3,E,H,F,3,B,U,1
CA,R1,42,I,U,F,Not matched,D,R,1
other,R2,46,I,U,M,Not matched,D,R,2
CA,U2,7,E,H,F,3,A,U,2
GA,R2,46,,U,F,Not matched,D,R,2
other,R2,49,E,U,M,2,D,R,2
other,C3,33,E,H,F,2,C,C,3
IL,U3,8,E,H,F,2,A,U,3
other,T1,34,E,H,M,3,B,T,1
TX,C3,31,E,U,F,3,A,C,3
other,S1,13,,U,M,Not matched,B,S,1
MI,C2,27,,U,M,Not matched,C,C,2
MI,T2,40,,H,F,2,A,T,2
other,S3,21,I,H,F,2,C,S,3
other,U1,1,,U,F,Not matched,B,U,1
CA,T2,38,E,H,M,3,D,T,2
IL,R2,49,E,U,M,2,B,R,2
IL,S1,13,E,H,F,3,A,S,1
CA,S2,20,E,H,M,2,A,S,2
other,C1,22,E,H,M,3,B,C,1
CA,T1,35,E,H,F,2,B,T,1
MI,T3,41,E,H,F,3,C,T,3
CA,S2,20,I,U,F,Not matched,A,S,2
CA,S1,14,E,H,M,3,A,S,1
TX,C3,30,E,H,F,3,B,C,3
IL,T1,35,,U,M,Not matched,A,T,1
NC,R2,49,E,U,F,3,D,R,2
other,U4,10,E,U,M,1,A,U,4
IN,S3,21,,U,F,1,A,S,3
TX,T2,36,E,H,F,2,C,T,2
other,R2,43,,U,F,3,D,R,2
CA,S3,21,E,H,M,3,A,S,3
IN,S3,21,,U,M,Not matched,B,S,3
FL,C2,28,E,H,M,2,A,C,2
WI,C2,28,,U,M,3,D,C,2
IL,R3,51,E,U,F,1,D,R,3
other,T2,36,E,H,F,3,D,T,2
CA,U2,7,I,H,F,3,A,U,2
CA,U3,8,E,H,M,3,A,U,3
WI,R2,45,E,H,F,3,D,R,2
other,T1,35,E,H,M,3,C,T,1
MO,R2,43,E,H,F,3,D,R,2
CA,U2,6,,H,F,1,A,U,2
CA,U3,9,,U,M,Not matched,A,U,3
other,R2,49,,U,F,1,D,R,2
other,T3,41,E,U,F,2,D,T,3
WA,C2,25,E,U,M,1,A,C,2
other,T1,35,E,H,F,3,B,T,1
other,R2,43,E,H,M,3,B,R,2
FL,T1,35,E,H,M,3,B,T,1
CA,U1,1,I,H,F,2,A,U,1
other,C2,26,E,H,F,3,B,C,2
TX,R2,40,E,H,M,2,B,R,2
GA,T2,37,,U,other,Not matched,D,T,2
MI,R3,53,E,H,F,2,D,R,3
MI,R3,51,,U,M,Not matched,D,R,3
FL,S1,11,,U,F,Not matched,A,S,1
TX,C1,22,,U,F,2,A,C,1
other,R3,51,I,H,F,2,D,R,3
other,C3,33,E,U,F,3,C,C,3
WA,C1,24,E,H,M,3,A,C,1
other,R2,43,E,U,M,2,C,R,2
GA,S1,12,E,H,other,3,A,S,1
other,T2,36,,U,M,Not matched,A,T,2
IN,T2,36,E,H,M,3,C,T,2
CA,T2,40,E,H,F,3,C,T,2
FL,T2,39,,U,F,Not matched,C,T,2
other,R2,49,,H,M,3,B,R,2
other,T1,35,E,U,M,1,D,T,1
MO,T1,35,E,H,F,3,A,T,1
NC,T2,36,,U,F,Not matched,C,T,2
MO,S2,16,E,H,F,3,A,S,2
other,R2,49,E,H,M,3,D,R,2
FL,S2,19,E,H,F,2,A,S,2
FL,R3,51,E,H,M,3,C,R,3
MI,C3,33,,U,F,Not matched,A,C,3
CA,S1,11,E,H,M,2,B,S,1
CA,T1,35,E,H,F,2,A,T,1
other,S2,18,E,H,M,3,A,S,2
FL,S1,14,I,H,F,1,B,S,1
other,T3,41,E,H,F,2,C,T,3
WA,R2,44,E,H,F,2,B,R,2
CA,U1,1,E,H,F,3,A,U,1
CA,U2,7,E,H,F,3,A,U,2
MO,T2,40,,U,M,2,C,T,2
MI,T1,35,E,H,F,3,A,T,1
WA,U1,1,E,H,M,3,A,U,1
FL,T2,39,E,H,F,3,B,T,2
GA,C1,24,E,H,F,3,C,C,1
CA,C2,29,I,U,M,Not matched,A,C,2
other,C3,30,,U,F,Not matched,C,C,3
TX,C1,24,E,H,F,3,C,C,1
WI,T2,40,E,H,F,3,C,T,2
FL,S3,21,E,H,F,3,B,S,3
CA,S1,15,E,H,F,2,A,S,1
other,C3,30,E,U,M,3,A,C,3
MO,C2,27,,U,F,Not matched,D,C,2
other,R3,51,,U,M,Not matched,D,R,3
CA,R2,45,,U,M,1,B,R,2
other,C1,24,E,H,F,3,B,C,1
CA,S2,17,E,H,M,2,B,S,2
CA,S1,11,I,U,M,Not matched,A,S,1
other,C3,30,E,H,F,2,C,C,3
FL,U3,9,,U,F,Not matched,A,U,3
WI,S2,18,E,H,F,3,B,S,2
other,T2,40,E,H,M,3,B,T,2
FL,U3,8,E,U,M,2,A,U,3
FL,C2,28,I,U,F,Not matched,B,C,2
other,R2,49,,U,M,3,D,R,2
IN,S2,17,,U,F,1,B,S,2
other,R3,53,E,H,F,3,D,R,3
TX,T1,34,E,H,F,3,A,T,1
IN,R2,44,E,H,F,2,B,R,2
other,R2,45,E,U,F,3,A,R,2
CA,S2,18,E,H,F,3,B,S,2
other,C1,24,E,H,M,3,B,C,1
other,R2,49,E,U,F,1,C,R,2
other,R3,51,E,H,F,2,D,R,3
WA,C1,23,,U,F,Not matched,C,C,1
WI,R2,44,E,H,M,2,C,R,2
WI,T1,34,E,H,F,2,B,T,1
other,C2,25,E,H,F,3,D,C,2
other,T2,36,,U,M,Not matched,B,T,2
GA,R3,50,E,U,F,2,D,R,3
other,C2,27,E,H,F,2,B,C,2
IN,R2,44,E,H,F,3,D,R,2
CA,U2,7,E,H,F,2,A,U,2
WI,C3,30,E,H,M,3,C,C,3
CA,R2,40,E,H,F,3,A,R,2
other,R1,42,E,H,M,3,D,R,1
FL,C3,30,E,H,F,3,B,C,3
CA,C2,28,E,H,F,3,A,C,2
other,R2,49,E,H,F,2,A,R,2
CA,T2,40,E,U,M,3,B,T,2
WI,R2,45,,U,M,Not matched,D,R,2
FL,U2,6,E,H,M,3,A,U,2
IN,R2,43,,U,F,Not matched,D,R,2
FL,C2,27,E,U,F,3,A,C,2
WA,C3,30,,U,F,Not matched,B,C,3
FL,C2,28,E,U,M,2,B,C,2
IN,S2,18,E,H,M,3,B,S,2
other,C3,32,E,H,F,2,B,C,3
CA,U1,2,E,H,F,3,A,U,1
WI,R2,44,E,H,F,3,C,R,2
other,T3,41,,U,F,Not matched,C,T,3
other,S2,16,,U,F,Not matched,B,S,2
GA,S1,12,E,H,F,3,A,S,1
FL,T2,37,E,H,F,3,B,T,2
FL,T3,41,E,H,F,3,C,T,3
CA,U1,3,I,U,F,Not matched,A,U,1
NC,C3,31,,U,F,2,B,C,3
MI,S2,17,E,H,F,3,B,S,2
MO,T2,36,E,H,M,3,B,T,2
other,R2,45,,U,M,3,B,R,2
NC,C1,23,E,H,F,3,C,C,1
FL,U4,10,E,H,F,3,A,U,4
other,T2,40,E,U,F,3,C,T,2
other,S1,12,E,H,M,3,B,S,1
TX,S1,13,E,H,M,3,B,S,1
TX,S1,14,E,H,M,3,A,S,1
TX,U1,2,E,H,F,3,A,U,1
GA,T2,39,,U,F,Not matched,C,T,2
TX,S1,14,E,H,M,3,B,S,1
other,S1,13,,U,M,Not matched,B,S,1
FL,S2,20,E,H,M,3,B,S,2
other,S2,18,E,H,F,3,B,S,2
other,S1,11,E,H,F,3,B,S,1
other,R2,45,,U,F,Not matched,D,R,2
CA,T1,34,E,H,F,2,C,T,1
other,T3,41,E,H,F,2,B,T,3
IL,R2,45,E,U,F,3,C,R,2
MI,R2,46,E,U,F,3,A,R,2
other,R3,51,,U,F,Not matched,D,R,3
other,R1,42,E,H,M,3,D,R,1
other,R2,45,,U,F,Not matched,D,R,2
other,R3,51,E,U,F,2,D,R,3
CA,U2,7,E,U,F,2,A,U,2
other,T2,38,,U,F,Not matched,C,T,2
other,R2,49,E,U,F,2,B,R,2
other,R2,40,,H,F,2,B,R,2
CA,U1,1,,U,M,1,A,U,1
IL,T1,35,E,H,M,3,A,T,1
CA,C2,28,E,H,M,3,B,C,2
CA,C2,27,E,H,M,3,B,C,2
other,R3,53,,U,M,3,D,R,3
WI,T2,40,,U,F,3,D,T,2
other,T3,41,E,U,F,2,C,T,3
other,R2,49,,H,M,2,B,R,2
other,S1,11,E,H,F,3,B,S,1
MO,T2,37,I,U,M,Not matched,C,T,2
other,T2,36,,U,M,Not matched,D,T,2
IL,R2,49,I,U,M,2,C,R,2
FL,C2,29,E,H,M,3,C,C,2
other,R2,45,,U,F,Not matched,D,R,2
other,S1,14,E,H,M,3,A,S,1
TX,T3,41,,U,M,Not matched,D,T,3
GA,R2,47,,U,F,Not matched,D,R,2
WA,C1,23,I,H,F,2,C,C,1
CA,U1,1,,U,M,Not matched,A,U,1
other,C2,27,E,U,F,2,C,C,2
other,U2,5,E,H,F,2,A,U,2
FL,C2,28,,U,F,1,B,C,2
MI,S2,16,,U,F,Not matched,A,S,2
CA,U1,3,,U,F,Not matched,A,U,1
GA,R2,49,,U,F,Not matched,D,R,2
other,R2,43,,H,F,2,D,R,2
FL,C3,33,E,U,M,2,A,C,3
FL,U2,6,E,H,M,3,A,U,2
TX,C1,22,E,H,F,3,A,C,1
FL,C2,28,E,H,F,3,B,C,2
TX,T2,40,E,H,M,3,A,T,2
other,R2,48,,U,F,Not matched,D,R,2
FL,S1,13,E,H,M,3,B,S,1
TX,T1,35,E,H,M,3,A,T,1
CA,S1,11,,H,F,1,A,S,1
FL,C2,29,E,H,M,1,B,C,2
FL,C2,29,,H,other,3,B,C,2
CA,C2,28,E,H,F,3,B,C,2
IN,S2,17,E,H,M,3,B,S,2
NC,S1,14,E,H,F,3,B,S,1
TX,T2,36,E,H,M,2,D,T,2
IL,S3,21,,U,F,Not matched,A,S,3
MO,U3,8,E,H,F,3,A,U,3
MI,T2,39,I,U,F,Not matched,C,T,2
MI,R3,53,E,H,F,3,C,R,3
CA,R3,52,I,H,other,3,C,R,3
FL,S2,18,I,U,F,Not matched,A,S,2
other,T1,34,E,U,F,2,B,T,1
CA,R2,44,E,H,F,3,D,R,2
CA,U1,3,,U,F,2,C,U,1
other,R3,53,E,U,M,3,B,R,3
other,S2,18,E,H,F,3,A,S,2
FL,T2,36,E,H,F,3,B,T,2
TX,C2,27,I,U,F,Not matched,A,C,2
IL,S3,21,,U,F,2,A,S,3
other,C3,31,,U,F,Not matched,B,C,3
other,C3,33,E,U,F,1,A,C,3
MI,U2,6,E,U,F,2,A,U,2
CA,S1,15,I,U,M,Not matched,A,S,1
IL,S3,21,E,H,F,3,B,S,3
FL,C1,23,E,H,M,1,B,C,1
GA,T1,34,E,H,F,3,C,T,1
CA,S2,18,E,H,F,2,A,S,2
FL,S1,12,E,H,F,3,B,S,1
WA,R2,40,E,H,M,2,C,R,2
MO,C1,24,E,H,F,3,B,C,1
MO,U1,2,E,H,F,3,A,U,1
WA,T1,34,,U,F,1,C,T,1
IL,T1,35,E,H,F,2,A,T,1
other,T2,36,E,H,M,3,D,T,2
other,U2,5,E,H,M,3,B,U,2
other,T2,36,,U,F,1,C,T,2
NC,R2,47,I,U,M,Not matched,D,R,2
CA,U3,8,I,U,F,Not matched,A,U,3
CA,C2,28,E,H,F,2,A,C,2
other,C1,22,,U,M,Not matched,D,C,1
WA,U1,1,,U,F,Not matched,A,U,1
FL,S1,15,E,U,M,1,B,S,1
CA,C3,30,,U,F,Not matched,A,C,3
other,U2,7,E,H,F,3,B,U,2
MI,C1,24,E,H,F,3,B,C,1
IN,S1,11,E,H,M,3,B,S,1
other,S2,20,E,H,F,3,B,S,2
other,C3,31,I,U,F,Not matched,A,C,3
TX,S2,19,I,H,M,2,C,S,2
NC,C1,22,,U,F,Not matched,B,C,1
TX,T2,36,,U,F,3,B,T,2
MI,S3,21,,U,F,Not matched,C,S,3
CA,R2,48,E,H,M,2,B,R,2
WI,R2,49,,U,F,3,C,R,2
other,S2,18,E,H,F,3,B,S,2
WA,R2,44,E,H,M,2,B,R,2
FL,S2,17,E,H,F,3,A,S,2
other,C1,24,E,U,F,3,C,C,1
other,R2,46,,U,M,Not matched,D,R,2
NC,R2,44,E,H,F,3,B,R,2
other,C1,22,E,U,F,3,B,C,1
